"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Quantity","Unit Price","Description"
"C0805C106K8PACTU","KEMET","399-4925-1-ND","3","0.16000","CAP CER 10UF 10V X5R 0805"
"","","","12","0.01800","CAP CER 0.1UF 16V Y5V 0603"
"EEE-1VA220SP","Panasonic Electronic Components","PCE3952CT-ND","2","0.35000","CAP ALUM 22UF 20% 35V SMD"
"WP710A10LSRD","Kingbright","754-1590-ND","2","0.50000","LED RED DIFFUSED T-1 T/H"
"LTST-C191TBKT","Lite-On Inc.","160-1647-1-ND","1","0.50000","LED BLUE CLEAR CHIP SMD"
"SJ2-35953A-SMT-TR","CUI Devices","CP-SJ2-35953A-SMT-CT-ND","1","1.41000","AUDIO JACK, 3.5 MM, RT, 3 CONDUC"
"USB4085-GF-A","GCT","	2073-USB4085-GF-ATR-ND","1","1.75000","CONN RCPT USB2.0 TYPEC 16POS"
"B2B-PH-SM4-TB(LF)(SN)","JST Sales America Inc.","455-1734-1-ND","1","0.55000","CONN HEADER SMD 2POS 2MM"
","","","2","0.45000","RES SMD 5.1K OHM 0.1% 1/16W 0603"
"PTN0805E5002BST1","Vishay Thin Film","764-1535-1-ND","1","0.74000","RES 50K OHM 0.1% 1/5W 0805"
"","","","1","0.10000","RES SMD 100K OHM 1% 1/16W 0603"
"","","","2","0.10000","RES SMD 47K OHM 1% 1/16W 0603"
"","","","1","0.10000","RES SMD 1K OHM 1% 1/16W 0603"
"","","","1","0.10000","RES SMD 2K OHM 1% 1/16W 0603"
"","","","3","0.43000","RES SMD 1.5K OHM 0.1% 1/16W 0603"
"TL3315NF160Q","E-Switch","EG4621CT-ND","4","0.18000","SWITCH TACTILE SPST-NO 0.05A 15V"
"JS102011SAQN","C&K","401-1999-1-ND","1","0.56000","SWITCH SLIDE SPDT 300MA 6V"
"STM32G473CET6","STMicroelectronics","497-STM32G473CET6-ND","1","6.29000","MAINSTREAM ARM CORTEX-M4 CORE WI"
"OPA340NA/3K","Texas Instruments","296-26275-1-ND","1","2.54000","IC OPAMP GP 1 CIRCUIT SOT23-5"
"WM8731SEDS/V","Cirrus Logic Inc.","598-2460-ND","1","3.92000","IC CODEC PORT INTERNET 28SSOP"
"SPX3819M5-L-3-3/TR","MaxLinear, Inc.","1016-1873-1-ND","1","0.51000","IC REG LINEAR 3.3V 500MA SOT23-5"
"BQ24090DGQT","Texas Instruments","296-25863-1-ND","1","1.48000","IC BATT CHRGR LI-ION 10MSOP"
"AWSCR-8.00CPLB-C30-T4","Abracon LLC","535-15118-1-ND","1","0.50000","CERAMIC RES 8.0000MHZ 30PF SMD"
"AWSCR-12.00CV-T","Abracon LLC","535-10007-1-ND","1","0.40000","CERAMIC RES 12.0000MHZ 22PF SMD"
"2750","Adafruit Industries LLC","1528-1858-ND","1","6.95000","BATTERY LITHIUM 3.7V 350MAH"
"2P1216","Switchcraft Inc.","SC2075-ND","1","4.06000","CONN PLUG MONO 6.35MM 2COND"
"","","","1","0.47000","CAP CER 10UF 10V X5R 0603"
"EEE-1AA221XP","Panasonic Electronic Components","PCE3871CT-ND","2","0.47000","CAP ALUM 220UF 20% 10V SMD"
